image,price,rating,stock,title,url
http://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,£51.77,Three,In stock,A Light in the Attic,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,£53.74,One,In stock,Tipping the Velvet,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
http://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,£50.10,One,In stock,Soumission,http://books.toscrape.com/catalogue/soumission_998/index.html
http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,£47.82,Four,In stock,Sharp Objects,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,£54.23,Five,In stock,Sapiens: A Brief History of Humankind,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
http://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,£22.65,One,In stock,The Requiem Red,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
http://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,£33.34,Four,In stock,The Dirty Little Secrets of Getting Your Dream Job,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
http://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,£17.93,Three,In stock,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
http://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,£22.60,Four,In stock,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
http://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,£52.15,One,In stock,The Black Maria,http://books.toscrape.com/catalogue/the-black-maria_991/index.html
